Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Calories,TotalSteps,TotalDistance,,,,,,,,,,,
1503960366,4/12/2016,1,327,346,1985,13162,8.50,,,Number of Blanck values,Number unique values,,,TotalMinutesAsleep,TotalTimeInBed,Calories,TotalSteps,TotalDistance
1503960366,4/13/2016,2,384,407,1797,10735,6.97,,,0,24,,Mean,419.5,458.6,2397.6,8541.1,6.0
1503960366,4/15/2016,1,412,442,1745,9762,6.28,,,,,,Min,58,61,257,17,0.01
1503960366,4/16/2016,2,340,367,1863,12669,8.16,,,,,,Max,796,961,4900,22770,17.54
1503960366,4/17/2016,1,700,712,1728,9705,6.48,,,,,,,,,,,
1503960366,4/19/2016,1,304,320,2035,15506,9.88,,,,,,,,,,,
1503960366,4/20/2016,1,360,377,1786,10544,6.68,,,,,,,,,,,
1503960366,4/21/2016,1,325,364,1775,9819,6.34,,,,,,,,,,,
1503960366,4/23/2016,1,361,384,1949,14371,9.04,,,,,,,,,,,
1503960366,4/24/2016,1,430,449,1788,10039,6.41,,,,,,,,,,,
1503960366,4/25/2016,1,277,323,2013,15355,9.80,,,,,,,,,,,
1503960366,4/26/2016,1,245,274,1970,13755,8.79,,,,,,,,,,,
1503960366,4/28/2016,1,366,393,1898,13154,8.53,,,,,,,,,,,
1503960366,4/29/2016,1,341,354,1837,11181,7.15,,,,,,,,,,,
1503960366,4/30/2016,1,404,425,1947,14673,9.25,,,,,,,,,,,
1503960366,5/1/2016,1,369,396,1820,10602,6.81,,,,,,,,,,,
1503960366,5/2/2016,1,277,309,2004,14727,9.71,,,,,,,,,,,
1503960366,5/3/2016,1,273,296,1990,15103,9.66,,,,,,,,,,,
1503960366,5/5/2016,1,247,264,1959,14070,8.90,,,,,,,,,,,
1503960366,5/6/2016,1,334,367,1896,12159,8.03,,,,,,,,,,,
1503960366,5/7/2016,1,331,349,1821,11992,7.71,,,,,,,,,,,
1503960366,5/8/2016,1,594,611,1740,10060,6.58,,,,,,,,,,,
1503960366,5/9/2016,1,338,342,1819,12022,7.72,,,,,,,,,,,
1503960366,5/10/2016,1,383,403,1859,12207,7.77,,,,,,,,,,,
1503960366,5/11/2016,1,285,306,1783,12770,8.13,,,,,,,,,,,
1644430081,4/29/2016,1,119,127,2498,3176,2.31,,,,,,,,,,,
1644430081,4/30/2016,1,124,142,3846,18213,13.24,,,,,,,,,,,
1644430081,5/2/2016,1,796,961,2580,3758,2.73,,,,,,,,,,,
1644430081,5/8/2016,1,137,154,2987,6724,4.89,,,,,,,,,,,
1844505072,4/15/2016,1,644,961,1725,3844,2.54,,,,,,,,,,,
1844505072,4/30/2016,1,722,961,1763,4014,2.67,,,,,,,,,,,
1844505072,5/1/2016,1,590,961,1541,2573,1.70,,,,,,,,,,,
1927972279,4/12/2016,3,750,775,2220,678,0.47,,,,,,,,,,,
